"filename", "language", "Dart", "C++", "JSON", "HTML", "Swift", "XML", "YAML", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\planner_screen.dart", "Dart", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 148
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text-ingsit\text_ingites_data.dart", "Dart", 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36, 490
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text-ingsit\text_ingtits.dart", "Dart", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 189
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\plan_function.dart", "Dart", 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45, 639
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\plan_list.dart", "Dart", 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 400
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\planner_diglogbox.dart", "Dart", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 377
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\quick-planner\quick_plan_screen.dart", "Dart", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36, 369
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\commitments_edit.dart", "Dart", 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 480
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\commitments_setting.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 160
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\saving_edit.dart", "Dart", 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37, 588
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\income\income_edit.dart", "Dart", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 240
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\income\income_setting.dart", "Dart", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 214
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\name_img_setting.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\dropdown\gender_dropdown.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\dropdown\living_dropdown.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\personal_setting.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\personal_setting_edit.dart", "Dart", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 147
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\setting_screen.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\new_budget.dart", "Dart", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 294
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\slider\budget_slider.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 68
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\subtype_budget.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 114
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_info.dart", "Dart", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 323
