"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\main.dart", "Dart", 0, -14, 0, 0, -14
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\budget_model.dart", "Dart", 0, 26, 0, 2, 28
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\commitmet_model.dart", "Dart", 0, 3, 2, 0, 5
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\auth.dart", "Dart", 0, 11, 0, 3, 14
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\home_tabs.dart", "Dart", 0, 32, 0, -1, 31
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\expences_listview.dart", "Dart", 0, 11, 0, 0, 11
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\payment_screen.dart", "Dart", 0, -243, -10, -1, -254
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_bar_chart.dart", "Dart", 0, 565, 0, 44, 609
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barchart.dart", "Dart", 0, -354, 0, -34, -388
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget-refactor\budget_refactor.dart", "Dart", 0, 443, 17, 17, 477
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget-refactor\refactor_choos.dart", "Dart", 0, 380, 1, 14, 395
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget-refactor\refactor_commit.dart", "Dart", 0, 223, 1, 16, 240
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_builder.dart", "Dart", 0, 87, -125, 0, -38
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_edit.dart", "Dart", 0, 4, 0, -1, 3
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\commit_builder.dart", "Dart", 0, 28, 0, 0, 28
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\planner_header.dart", "Dart", 0, 222, -7, 14, 229
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\planner_screen.dart", "Dart", 0, 96, 0, 13, 109
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text-ingsit\text_ingites_data.dart", "Dart", 0, 56, 0, 0, 56
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\commitments_edit.dart", "Dart", 0, 25, 0, 0, 25
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\commitments_setting.dart", "Dart", 0, -1, 0, 0, -1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\commitments\saving_edit.dart", "Dart", 0, 545, 6, 37, 588
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\income\income_edit.dart", "Dart", 0, 3, 0, 0, 3
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\new_budget.dart", "Dart", 0, -18, 18, 0, 0
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_info.dart", "Dart", 0, 23, 0, 3, 26
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_reorder.dart", "Dart", 0, 14, 0, 2, 16
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\commitments_info.dart", "Dart", 0, 0, 0, 1, 1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\new_commitment.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\splash-screen\splash_screen.dart", "Dart", 0, 19, 0, 3, 22
"c:\Users\dheen\Desktop\UFin\ufin\pubspec.yaml", "YAML", 2, 0, 0, 0, 2
"Total", "-", 2, 2187, -97, 132, 2224
