"filename", "language", "C++", "YAML", "Dart", "JSON", "Swift", "HTML", "XML", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\dropdown\gender_dropdown.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\dropdown\living_dropdown.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\personal_setting.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 6, 109
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\personal\personal_setting_edit.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 10, 147
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setting-screens\setting_screen.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\new_budget.dart", "Dart", 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 1, 21, 294
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\slider\budget_slider.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 12, 12, 68
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\subtype_budget.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 9, 114
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_info.dart", "Dart", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 17, 252
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\saving_cal.dart", "Dart", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 2, 11, 191
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitments_info.dart", "Dart", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 11, 254
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\income_info.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 12, 242
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\persoanl\dropdown\gender_dropdown.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\persoanl\dropdown\living_dropdown.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\persoanl\personal_info.dart", "Dart", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 10, 163
"c:\Users\dheen\Desktop\UFin\ufin\lib\widget\user_image_picker.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 11, 67
"c:\Users\dheen\Desktop\UFin\ufin\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\dheen\Desktop\UFin\ufin\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\dheen\Desktop\UFin\ufin\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dheen\Desktop\UFin\ufin\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\dheen\Desktop\UFin\ufin\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\dheen\Desktop\UFin\ufin\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\dheen\Desktop\UFin\ufin\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\dheen\Desktop\UFin\ufin\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\dheen\Desktop\UFin\ufin\pubspec.yaml", "YAML", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 57, 18, 107
"c:\Users\dheen\Desktop\UFin\ufin\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\dheen\Desktop\UFin\ufin\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"c:\Users\dheen\Desktop\UFin\ufin\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\dheen\Desktop\UFin\ufin\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\dheen\Desktop\UFin\ufin\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\dheen\Desktop\UFin\ufin\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 540, 35, 3255, 308, 62, 38, 463, 3, 8, 91, 327, 544, 5674
