"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\budget_model.dart", "Dart", 8, 0, 1, 9
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\new_budget.dart", "Dart", 272, 1, 21, 294
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\slider\budget_slider.dart", "Dart", 44, 12, 12, 68
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\add-newBudget\subtype_budget.dart", "Dart", 105, 0, 9, 114
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_info.dart", "Dart", 1, 0, 1, 2
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\new_budget.dart", "Dart", -113, -1, -10, -124
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\saving_cal.dart", "Dart", 24, 2, 0, 26
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\slider\budget_slider.dart", "Dart", -68, -12, -12, -92
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitments_info.dart", "Dart", 4, 0, 0, 4
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\income_info.dart", "Dart", 1, 0, 0, 1
"Total", "-", 278, 2, 22, 302
