"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\auth.dart", "Dart", 2, 0, 1, 3
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\expences_listview.dart", "Dart", -3, 0, 0, -3
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barchart.dart", "Dart", 16, 0, 4, 20
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_builder.dart", "Dart", 2, 0, 0, 2
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_edit.dart", "Dart", 25, 0, 2, 27
"Total", "-", 42, 0, 7, 49
