"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\main.dart", "Dart", 3, -1, -1, 1
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\auth.dart", "Dart", 11, 0, 2, 13
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barChart.dart", "Dart", 212, 1, 11, 224
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barchart.dart", "Dart", -207, -1, -12, -220
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_builder.dart", "Dart", 108, 5, 0, 113
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_edit.dart", "Dart", 279, 2, 22, 303
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text_ingtits.dart", "Dart", 1, 0, 0, 1
"Total", "-", 407, 6, 22, 435
